query,page,country,device,clicks,impressions,ctr,position
carte mentale powerpoint,https://mindmapany.com/fr/tools/pptx-to-mind-map,fra,DESKTOP,0,1,0.0000,28.0
ebook-to-mindmap,https://mindmapany.com/tools/epub-to-mind-map,chn,DESKTOP,0,1,0.0000,8.0
ebook-to-mindmap,https://mindmapany.com/tools/epub-to-mind-map,sgp,DESKTOP,0,1,0.0000,8.0
how to generate mind maps from pdf files,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,usa,DESKTOP,0,1,0.0000,82.0
mindmap word,https://mindmapany.com/de/tools/docx-to-mind-map,deu,DESKTOP,0,1,0.0000,75.0
pdf to map,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,ind,DESKTOP,0,1,0.0000,94.0
pdf to map,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,usa,DESKTOP,0,1,0.0000,76.0
pdf to map,https://mindmapany.com/tools/pdf-to-mind-map,ind,DESKTOP,0,1,0.0000,85.0
pdf to mind map,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,usa,DESKTOP,0,1,0.0000,92.0
pdf to mind map,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,usa,MOBILE,0,1,0.0000,91.0
pdf to mind map free,https://mindmapany.com/tools/pdf-to-mind-map,dza,DESKTOP,0,1,0.0000,74.0
pdf to mind map free,https://mindmapany.com/tools/pdf-to-mind-map,vnm,DESKTOP,0,2,0.0000,82.0
text to mind map,https://mindmapany.com/tools/text-to-mind-map,usa,DESKTOP,0,2,0.0000,94.0
text to mind map,https://mindmapany.com/tools/text-to-mind-map,usa,MOBILE,0,1,0.0000,99.0
text2mind,https://mindmapany.com/tools/text-to-mind-map,col,DESKTOP,0,1,0.0000,82.0
text2mindmap,https://mindmapany.com/tools/text-to-mind-map,phl,DESKTOP,0,1,0.0000,95.0
text2mindmap,https://mindmapany.com/tools/text-to-mind-map,usa,DESKTOP,0,1,0.0000,91.0
turn pdf into interactive map,https://mindmapany.com/blog/how-to-convert-pdf-to-mind-map,usa,DESKTOP,0,1,0.0000,60.0
webpage to mind map,https://mindmapany.com/tools/webpage-to-mind-map,usa,DESKTOP,0,1,0.0000,88.0
webpage to mind map,https://mindmapany.com/tools/webpage-to-mind-map,usa,MOBILE,0,1,0.0000,88.0
